edge_uid,activity_type,hour,total_trip_count,forward_trip_count,reverse_trip_count,forward_people_count,reverse_people_count,forward_commute_trip_count,reverse_commute_trip_count,forward_leisure_trip_count,reverse_leisure_trip_count,forward_male_people_count,reverse_male_people_count,forward_female_people_count,reverse_female_people_count,forward_unspecified_people_count,reverse_unspecified_people_count,forward_18_34_people_count,reverse_18_34_people_count,forward_35_54_people_count,reverse_35_54_people_count,forward_55_64_people_count,reverse_55_64_people_count,forward_65_plus_people_count,reverse_65_plus_people_count,forward_average_speed_meters_per_second,reverse_average_speed_meters_per_second,osm_reference_id,ride_count,ebike_ride_count
411334646,"Ride,EBikeRide",2022-04-06T07,10,0,10,0,10,0,5,0,5,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0.0,5.76,491212832,10,0
411334646,"Ride,EBikeRide",2022-12-20T08,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-05-22T16,25,15,10,15,10,5,0,15,10,15,10,5,0,0,0,10,5,5,5,0,0,0,0,6.02,6.19,491212832,25,0
411334646,"Ride,EBikeRide",2022-09-16T18,15,15,5,15,5,5,0,10,0,10,5,0,0,0,0,10,0,5,0,0,0,0,0,7.83,0.0,491212832,15,0
411334646,"Ride,EBikeRide",2022-06-20T06,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-07-09T15,40,25,20,25,20,0,0,25,15,20,10,5,5,0,0,5,10,10,5,0,5,0,0,5.71,6.01,491212832,45,0
411334646,"Ride,EBikeRide",2022-08-23T21,5,5,0,5,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,6.18,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-10-26T14,5,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,0,0
411334646,"Ride,EBikeRide",2022-08-13T15,30,15,15,15,10,5,0,15,15,10,10,5,0,0,0,0,10,10,5,5,0,0,0,6.31,4.87,491212832,30,0
411334646,"Ride,EBikeRide",2022-04-23T14,45,25,20,25,15,0,5,25,15,15,10,10,5,0,0,15,5,5,10,0,0,0,0,6.88,3.83,491212832,45,0
411334646,"Ride,EBikeRide",2022-12-12T16,10,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76,0.0,491212832,10,0
411334646,"Ride,EBikeRide",2022-08-08T08,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.02,491212832,5,0
411334646,"Ride,EBikeRide",2022-08-06T19,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,6.06,0.0,491212832,5,0
