edge_uid,activity_type,hour,total_trip_count,forward_trip_count,reverse_trip_count,forward_people_count,reverse_people_count,forward_commute_trip_count,reverse_commute_trip_count,forward_leisure_trip_count,reverse_leisure_trip_count,forward_male_people_count,reverse_male_people_count,forward_female_people_count,reverse_female_people_count,forward_unspecified_people_count,reverse_unspecified_people_count,forward_18_34_people_count,reverse_18_34_people_count,forward_35_54_people_count,reverse_35_54_people_count,forward_55_64_people_count,reverse_55_64_people_count,forward_65_plus_people_count,reverse_65_plus_people_count,forward_average_speed_meters_per_second,reverse_average_speed_meters_per_second,osm_reference_id,ride_count,ebike_ride_count
411323673,"Ride,EBikeRide",2022-09-05T13,15,10,5,10,5,0,0,10,5,5,5,0,0,0,0,0,0,5,5,0,0,0,0,6.12,7.4,485519836,15,0
411323673,"Ride,EBikeRide",2022-11-23T13,10,5,5,5,5,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,6.08,0.0,485519836,5,0
411323673,"Ride,EBikeRide",2022-08-09T18,25,10,15,10,15,0,5,10,10,10,10,0,5,0,0,5,10,5,5,0,0,0,0,6.3,7.29,485519836,25,0
411323673,"Ride,EBikeRide",2022-08-02T07,15,5,10,5,10,5,5,0,5,5,5,0,0,0,0,5,5,0,5,0,0,0,0,7.1,7.03,485519836,15,0
411323673,"Ride,EBikeRide",2022-09-07T10,5,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0.0,6.78,485519836,5,0
411323673,"Ride,EBikeRide",2022-04-26T15,10,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,6.14,0.0,485519836,5,0
411323673,"Ride,EBikeRide",2022-08-26T15,10,5,5,5,5,0,5,5,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,5.94,6.39,485519836,10,0
411323673,"Ride,EBikeRide",2022-08-12T11,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5.34,0.0,485519836,5,0
411323673,"Ride,EBikeRide",2022-08-13T12,5,5,5,5,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,485519836,10,0
411323673,"Ride,EBikeRide",2022-08-25T18,15,10,5,5,5,5,0,5,5,5,5,0,0,0,0,5,5,5,0,0,0,0,0,6.07,8.04,485519836,10,0
411323673,"Ride,EBikeRide",2022-05-03T18,5,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,485519836,5,0
411323673,"Ride,EBikeRide",2022-06-02T21,5,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,485519836,5,0
411323673,"Ride,EBikeRide",2022-09-09T16,15,5,5,5,5,5,5,5,0,5,5,0,5,0,0,5,5,0,5,0,0,0,0,6.06,7.0,485519836,10,0
411323673,"Ride,EBikeRide",2022-06-06T16,10,5,5,5,5,0,0,5,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,6.16,6.86,485519836,10,0
411323673,"Ride,EBikeRide",2022-10-04T08,10,5,5,5,5,5,5,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0.0,6.73,485519836,10,0
411323673,"Ride,EBikeRide",2022-06-28T17,20,10,5,10,5,5,0,10,5,10,5,5,0,0,0,5,5,5,0,0,0,0,0,6.75,7.93,485519836,15,0
411323673,"Ride,EBikeRide",2022-08-05T07,10,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,6.7,0.0,485519836,5,0
411323673,"Ride,EBikeRide",2022-07-13T09,5,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0.0,7.03,485519836,5,0
411323673,"Ride,EBikeRide",2022-09-27T17,20,10,10,10,10,5,5,5,10,5,10,0,0,0,0,5,5,0,5,0,0,0,0,5.98,7.39,485519836,20,0
411323673,"Ride,EBikeRide",2022-05-05T14,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17,0.0,485519836,5,0
411323673,"Ride,EBikeRide",2022-10-16T11,10,5,5,5,5,0,0,5,5,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5.68,0.0,485519836,5,0
411323673,"Ride,EBikeRide",2022-08-10T14,5,5,5,5,5,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,4.37,0.0,485519836,10,0
411323673,"Ride,EBikeRide",2022-06-08T06,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,485519836,5,0
411323673,"Ride,EBikeRide",2022-06-21T09,5,5,5,5,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.76,485519836,10,0
411323673,"Ride,EBikeRide",2022-05-10T12,10,5,5,5,5,0,0,5,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,6.89,0.0,485519836,10,0
411323673,"Ride,EBikeRide",2022-08-12T14,5,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,485519836,5,0
411323673,"Ride,EBikeRide",2022-07-25T19,15,5,10,5,10,0,0,5,10,5,5,0,5,0,0,5,5,0,5,0,0,0,0,5.47,7.17,485519836,15,0
411323673,"Ride,EBikeRide",2022-06-14T10,10,5,5,5,5,0,0,5,5,5,0,5,5,0,0,0,0,5,0,0,0,0,0,6.14,6.58,485519836,10,0
