city,state,country,2020,2021,2022,2023,2024,2025,2026
Manhattan,NY,US,48,55,43,43,,51,48
Watford City,ND,US,,,,,82,82,48
Alliance,OH,US,,,35,40,43,43,48
Avon Lake,OH,US,,,,35,38,38,48
Loveland,OH,US,,,,,31,31,48
Corvallis,OR,US,30,37,58,66,70,71,48
Emlenton,PA,US,,,,,,,48
Morrisville,PA,US,,,,,,,48
Rapid City,SD,US,32,34,35,42,49,49,48
Cross Roads,TX,US,,,14,14,14,15,48
Thomas,WV,US,,,,,37,37,48
Pewaukee,WI,US,,,,,,,48
Verona,WI,US,,,,,,60,48
Trussville,AL,US,,18,18,17,24,23,47
Rock Point,AZ,US,,,,,,,47
Mammoth Lakes,CA,US,,,,,,,47
South San Francisco,CA,US,,,,,,32,47
Denver,CO,US,37,35,42,44,46,47,47
Johns Creek,GA,US,,,23,23,31,31,47
Fishers,IN,US,21,21,28,35,37,36,47
Orono,ME,US,34,34,29,29,27,37,47
Columbia,MD,US,15,18,20,35,37,35,47
Groveland,MA,US,,,,,,,47
Hopkinton,MA,US,,,,23,23,24,47
Oak Bluffs,MA,US,,,,,12,52,47
Frankenmuth,MI,US,,,,56,60,59,47
Harbor Springs,MI,US,,,,,92,63,47
Northville,MI,US,,44,44,33,33,33,47
Novi,MI,US,,,,,30,29,47
Chaska,MN,US,,,,,,31,47
Eagan,MN,US,,,44,43,43,43,47
Mendota Heights,MN,US,,,,,28,28,47
Rochester,MN,US,33,36,32,38,39,39,47
University City,MO,US,,,,,,,47
Montclair,NJ,US,,,,,,,47
Swedesboro,NJ,US,,,,,,10,47
Trenton,NJ,US,27,35,36,37,38,39,47
New Albany,OH,US,,,24,31,32,32,47
Ardmore,PA,US,,46,47,41,45,49,47
Deadwood,SD,US,,,,,,33,47
Addison,TX,US,,,18,19,19,23,47
South Weber,UT,US,,,,,,,47
Arlington,VA,US,51,55,56,54,53,55,47
Chantilly,VA,US,,,,26,33,35,47
Spokane,WA,US,32,32,34,42,41,43,47
Huntington,WV,US,36,37,41,41,42,45,47
Oconomowoc,WI,US,,,,,,46,47
Reedsburg,WI,US,,,,,43,51,47
Wausau,WI,US,35,35,36,36,37,37,47
Gurley,AL,US,,,,,,,46
Madison,AL,US,,37,37,36,38,38,46
Flagstaff,AZ,US,,42,43,43,44,41,46
Prescott,AZ,US,,,,37,37,37,46
San Luis,AZ,US,,30,36,33,34,35,46
Blue Lake,CA,US,,,,,35,35,46
Crestline,CA,US,,,,43,43,39,46
Diamond Bar,CA,US,,,,,26,26,46
Valinda,CA,US,,,,,,,46
Morgan City,LA,US,,,,49,45,45,46
Ellsworth,ME,US,,,,,,26,46
Kittery,ME,US,,,,21,23,27,46
York Harbor,ME,US,,,,,32,31,46
Baltimore,MD,US,24,14,30,32,33,41,46
Gambrills,MD,US,,,15,14,14,14,46
Brewster,MA,US,,,,,,26,46
Grosse Pointe Woods,MI,US,,,,44,44,44,46
Houghton,MI,US,,,,,,,46
New Buffalo,MI,US,,,,,32,59,46
Wakefield,MI,US,,,,,,49,46
Carmel,NY,US,,,,,24,25,46
Cambridge,OH,US,,,,,,,46
Westerville,OH,US,28,25,25,28,30,33,46
Eugene,OR,US,33,36,37,36,39,44,46
Altoona,PA,US,,,,36,37,37,46
Bala Cynwyd,PA,US,,,,,,,46
Douglassville,PA,US,,,,,,,46
Northampton,PA,US,,,,,32,34,46
Pottstown,PA,US,,18,24,28,28,34,46
Sharpsburg,PA,US,,,,,,,46
McLendon-Chisholm,TX,US,,,14,11,11,14,46
Ponder,TX,US,,,35,35,32,32,46
Sunnyvale,TX,US,,,9,18,19,19,46
Helper,UT,US,,,,,,,46
Payson,UT,US,,,,,,,46
Saratoga Springs,UT,US,,,,25,26,26,46
Burke,VA,US,19,20,22,26,27,27,46
Chester,VA,US,,,,,28,27,46
Camano,WA,US,,,,,,27,46
Maple Valley,WA,US,,,,,,43,46
Combined Locks,WI,US,,,,21,21,24,46
Wauwatosa,WI,US,,,,44,44,45,46
West Allis,WI,US,,,,37,39,40,46
Bridgeport,AL,US,,,,,,,45
Florence,AZ,US,,39,30,36,41,40,45
Stanfield,AZ,US,,,,,,,45
Hawaiian Gardens,CA,US,,,,,,,45
Hawthorne,CA,US,,,,,,,45
Malibu,CA,US,,,,,,,45
Morro Bay,CA,US,27,28,34,34,38,39,45
Palo Alto,CA,US,44,45,49,54,55,56,45
Redwood City,CA,US,33,35,39,40,41,40,45
South Gate,CA,US,,,,,,,45
Thornton,CO,US,11,35,41,41,42,42,45
Wilmington,DE,US,37,38,38,43,43,42,45
Nashville,IN,US,,,,,26,24,45
Overland Park,KS,US,15,33,32,37,41,41,45
Gardiner,ME,US,,,,,44,46,45
Bethesda,MD,US,10,11,26,40,36,41,45
Ayer,MA,US,,,,11,11,28,45
Dearborn,MI,US,,,,36,36,37,45
Midland,MI,US,,,,48,49,50,45
Butte,MT,US,33,30,30,30,37,43,45
Lincoln,NE,US,29,31,32,36,39,39,45
Elko,NV,US,,,,,,47,45
Ridgewood,NJ,US,,33,33,32,32,35,45
Cornwall-on-Hudson,NY,US,,,,,22,22,45
Bismarck,ND,US,35,39,37,40,41,41,45
Cleveland Heights,OH,US,,,,31,31,38,45
Delaware,OH,US,29,35,39,37,40,40,45
Marietta,OH,US,,,,,,41,45
Rockaway Beach,OR,US,,,,,42,49,45
Warm Springs,OR,US,,,,,,,45
Erie,PA,US,23,38,40,41,41,42,45
Etna,PA,US,,,,,,,45
Rimersburg,PA,US,,,,,,,45
South Bethlehem,PA,US,,,,,13,13,45
Mount Juliet,TN,US,,,21,23,23,22,45
Panguitch,UT,US,,,,,,,45
Smithfield,UT,US,,,,,,54,45
Syracuse,UT,US,,,,,39,41,45
Bennington,VT,US,,,,,57,55,45
Radford,VA,US,,,,,,53,45
Sumner,WA,US,,,,,48,48,45
Morgantown,WV,US,23,23,35,30,32,35,45
Janesville,WI,US,33,35,35,40,42,39,45
Oshkosh,WI,US,,32,34,35,37,37,45
Tolleson,AZ,US,,,,,27,27,44
Agoura Hills,CA,US,,,,35,40,36,44
Galt,CA,US,,,42,46,46,46,44
La Habra Heights,CA,US,,,,,,,44
Marina,CA,US,,,,,46,47,44
Truckee,CA,US,,44,41,41,39,41,44
Silverthorne,CO,US,,,,28,28,31,44
Danielson,CT,US,,,,,,,44
Middletown,DE,US,35,36,36,37,37,37,44
Newark,DE,US,23,23,25,32,34,36,44
Berkeley Lake,GA,US,,,26,11,13,12,44
Willow Springs,IL,US,,,,,,12,44
Newburgh,IN,US,,,,,,13,44
Council Bluffs,IA,US,,29,30,38,44,41,44
Lenexa,KS,US,30,33,34,33,38,38,44
Scarborough,ME,US,,23,17,24,26,26,44
Clarksburg,MD,US,,,,,28,28,44
Dundalk,MD,US,,,,,23,33,44
Stevensville,MD,US,,,,,27,27,44
Dover,MA,US,,,,,11,11,44
Okemos,MI,US,,,,24,25,26,44
Royal Oak,MI,US,,,37,39,40,40,44
Troy,MI,US,,19,17,24,25,24,44
Boyle,MS,US,,,,,,,44
Wildwood,MO,US,,,,22,22,22,44
West Yellowstone,MT,US,,,,,,40,44
Chapel Hill,NC,US,32,32,32,34,36,37,44
Wrightsville Beach,NC,US,,,,26,28,28,44
Dickinson,ND,US,,,,,41,41,44
Kettering,OH,US,,23,33,35,37,32,44
Tahlequah,OK,US,,,,49,43,42,44
Chester,PA,US,,,,,,,44
McMurray,PA,US,,,,22,22,23,44
Wellsboro,PA,US,,,,,31,36,44
Westmont,PA,US,,,,,21,21,44
Yardley,PA,US,,,,,49,49,44
Jamestown,RI,US,,,,,,,44
Hollywood,SC,US,,,,,,,44
Whitewood,SD,US,,,,52,52,52,44
Yankton,SD,US,,,44,43,43,44,44
Essex Junction,VT,US,,,,,,36,44
Lyndonville,VT,US,,,,,,,44
Blacksburg,VA,US,37,37,37,42,44,50,44
Fredericksburg,VA,US,,21,29,31,34,33,44
Port Angeles,WA,US,,,,40,41,41,44
Port Orchard,WA,US,,,,21,22,20,44
Martinsburg,WV,US,,,,,35,34,44
Fox Point,WI,US,,,,,,40,44
Kenosha,WI,US,,31,31,38,39,38,44
Oconto,WI,US,,,,46,46,46,44
Prattville,AL,US,,,,,,,43
Slocomb,AL,US,,,,,36,36,43
Cudahy,CA,US,,,,,,,43
East San Gabriel,CA,US,,,,,,,43
Goleta,CA,US,33,32,33,34,36,36,43
Imperial Beach,CA,US,36,40,42,38,39,43,43
Lennox,CA,US,,,,,,,43
Marina del Rey,CA,US,,,,,,,43
Scotts Valley,CA,US,35,34,34,34,37,37,43
Colorado Springs,CO,US,30,34,35,38,40,38,43
Edwards,CO,US,,,,,27,28,43
Estes Park,CO,US,,,,25,25,30,43
Mead,CO,US,,,14,16,16,16,43
Mystic,CT,US,,19,24,25,28,27,43
Newtown,CT,US,,,,24,24,24,43
Whitesburg,GA,US,,,,,33,33,43
Chester,MD,US,,,16,16,23,25,43
Crofton,MD,US,,23,23,25,27,27,43
West Ocean City,MD,US,,,,,15,14,43
Norton,MA,US,,,,,,,43
Grandville,MI,US,,,,42,47,50,43
Holt,MI,US,,,,27,31,29,43
Ionia,MI,US,,,,,36,31,43
Kalamazoo,MI,US,34,35,36,30,36,33,43
Livonia,MI,US,33,32,32,37,38,36,43
Southfield,MI,US,,16,19,24,27,28,43
Sumrall,MS,US,,,,,36,34,43
Great Falls,MT,US,35,32,36,36,36,36,43
Omaha,NE,US,31,31,32,32,36,36,43
Medina,OH,US,,,,,36,37,43
Kingston,OK,US,,,,,,,43
Muskogee,OK,US,,,,25,28,30,43
Cascade Locks,OR,US,,,,,49,48,43
Aston,PA,US,,,,,,,43
Carlisle,PA,US,34,39,39,35,34,37,43
Sturgis,SD,US,,37,41,36,35,37,43
Hickory Creek,TX,US,,,13,14,17,17,43
Kempner,TX,US,,,,25,24,24,43
Lehi,UT,US,,,28,30,31,31,43
Burlington,VT,US,53,52,64,61,63,61,43
Purcellville,VA,US,,,,,,36,43
Roanoke,VA,US,18,18,19,25,30,34,43
Williamsburg,VA,US,27,27,27,38,39,39,43
Leavenworth,WA,US,,,,,,43,43
Buckhannon,WV,US,37,25,25,22,26,27,43
Fall River,WI,US,,,,,,,43
Fairbanks,AK,US,23,24,26,26,28,27,42
Benson,AZ,US,,,,33,31,31,42
Rogers,AR,US,33,33,35,30,34,38,42
Burlingame,CA,US,36,35,38,38,39,41,42
Inglewood,CA,US,,,,,,,42
Petaluma,CA,US,,37,45,43,44,44,42
Sonora,CA,US,,,,24,26,31,42
West Puente Valley,CA,US,,,,,,,42
Killingly,CT,US,,,,,,,42
Claymont,DE,US,,,,,22,25,42
Lewes,DE,US,,22,23,27,32,33,42
Alafaya,FL,US,,,26,26,28,28,42
Tampa,FL,US,13,13,13,15,16,30,42
Cumming,GA,US,,,,,24,26,42
Tyrone,GA,US,,,13,13,26,23,42
Oxford,MD,US,,,,,,,42
Bedford,MA,US,35,38,38,34,35,36,42
Manistee,MI,US,,,,,,39,42
Romeo,MI,US,,,,39,40,51,42
Prior Lake,MN,US,,,,34,41,42,42
Ridgeland,MS,US,20,22,23,23,28,29,42
Maplewood,MO,US,,,,,,,42
East Hanover,NJ,US,,,,19,16,19,42
Los Alamos,NM,US,,,,23,23,23,42
Kingston,NY,US,10,11,11,13,15,14,42
Lancaster,OH,US,,,,40,50,34,42
Perrysburg,OH,US,,,,,,33,42
Reminderville,OH,US,,,,32,33,35,42
Vandalia,OH,US,,,,26,31,29,42
Mannford,OK,US,,,,,,,42
Bartonville,TX,US,,,24,24,27,30,42
Coppell,TX,US,,9,14,31,32,31,42
Tappahannock,VA,US,,,,,,36,42
Bainbridge Island,WA,US,,,,28,29,28,42
Mercer Island,WA,US,,,,,38,43,42
Sedro-Woolley,WA,US,,,,,36,41,42
Nogales,AZ,US,,,,29,29,29,41
Tucson,AZ,US,31,30,33,38,39,38,41
Lawndale,CA,US,,,,,,,41
Mountain View,CA,US,,,29,31,33,35,41
Pacifica,CA,US,,,,31,31,32,41
Penngrove,CA,US,,,7,8,10,10,41
Rohnert Park,CA,US,,,46,47,50,50,41
Santa Monica,CA,US,49,50,49,60,61,61,41
Simsbury,CT,US,,30,34,30,30,31,41
Lake Mary,FL,US,,14,15,16,17,18,41
Virginia Gardens,FL,US,,,,6,6,6,41
Dawsonville,GA,US,,,,,,31,41
Waimea,HI,US,,,,,30,28,41
Evanston,IL,US,7,32,33,38,41,43,41
Zionsville,IN,US,,,,,,,41
Des Moines,IA,US,31,30,32,32,34,36,41
Elk Run Heights,IA,US,,,,17,17,17,41
Hudson,IA,US,,,,,,,41
Mandeville,LA,US,,21,21,29,30,30,41
Brimfield,MA,US,,,,,,,41
Sandwich,MA,US,,,,,11,11,41
Birmingham,MI,US,,,,,,33,41
Holland,MI,US,,,39,37,41,42,41
Lansing,MI,US,30,31,36,37,38,38,41
Portage,MI,US,,43,44,44,46,45,41
Aitkin,MN,US,,,,,23,15,41
Andover,MN,US,,,,,26,27,41
Lakeville,MN,US,,,,35,36,36,41
Columbia,MO,US,36,36,37,36,39,39,41
Bozeman,MT,US,51,54,52,49,47,47,41
Camden,NJ,US,30,30,30,24,33,35,41
Delran,NJ,US,,,,,,,41
Linden,NJ,US,,,,,,,41
Princeton,NJ,US,,,44,28,33,33,41
Rutherford,NJ,US,,,,,,28,41
Moncure,NC,US,,,,,,,41
Kent,OH,US,,,32,38,39,39,41
Norwalk,OH,US,,,,,40,39,41
Youngstown,OH,US,21,26,26,29,30,30,41
Cave Junction,OR,US,,,,,,55,41
Allentown,PA,US,,23,23,29,35,31,41
Delmont,PA,US,,,,22,19,19,41
Warren,PA,US,33,28,33,35,35,35,41
Washington,UT,US,,,,,,,41
Newport,VT,US,,,,,,,41
Ashland,VA,US,,,,,,,41
Springfield,VA,US,24,26,26,29,32,33,41
Gig Harbor,WA,US,,,,20,21,22,41
Lynnwood,WA,US,,,33,36,38,40,41
Tacoma,WA,US,32,33,34,33,34,39,41
Harpers Ferry,WV,US,,,,,,20,41
Waterloo,WI,US,41,41,42,42,42,42,41
Watertown,WI,US,,33,34,38,38,37,41
Pelham,AL,US,,28,28,28,26,25,40
Lakeside,AZ,US,,,,,,,40
Oro Valley,AZ,US,,,,38,40,42,40
Buellton,CA,US,45,46,33,28,31,41,40
Corte Madera,CA,US,,31,32,34,35,34,40
Groveland,CA,US,,,,52,52,52,40
Jurupa Valley,CA,US,,,,,,29,40
La Puente,CA,US,,,,,,,40
Lompoc,CA,US,58,63,60,58,59,61,40
Richmond,CA,US,,,27,29,30,30,40
Solana Beach,CA,US,,29,26,30,32,38,40
Avon,CO,US,,,27,26,25,27,40
Estero,FL,US,20,19,19,14,16,16,40
Key Largo,FL,US,,,,,,,40
Pensacola,FL,US,24,26,24,23,29,29,40
Dahlonega,GA,US,,,,23,28,27,40
Hamilton,GA,US,,,,,,33,40
White,GA,US,,,,,34,34,40
Woodstock,GA,US,,,16,17,23,23,40
Whiting,IN,US,,,,,34,44,40
Dubuque,IA,US,16,27,33,34,35,36,40
Ruston,LA,US,,,,24,46,39,40
Gorham,ME,US,,,,,27,31,40
Topsham,ME,US,,,,,,,40
Damascus,MD,US,,,32,34,35,35,40
Belmont,MA,US,,,,,8,25,40
Georgetown,MA,US,,,,,,,40
Grand Rapids,MI,US,18,18,21,26,30,32,40
Pittsfield Charter Township,MI,US,24,24,24,22,23,23,40
St. Joseph,MI,US,,,,,,,40
Taylor,MI,US,,25,26,27,29,29,40
Minnetonka,MN,US,,23,25,27,28,31,40
Tupelo,MS,US,34,34,34,29,29,30,40
Hazelwood,MO,US,,,,,,,40
St. Louis,MO,US,32,33,34,36,36,38,40
St. Peters,MO,US,,,,27,28,31,40
Incline Village,NV,US,,,,,36,36,40
Flemington,NJ,US,,,,,36,36,40
Cleveland,OH,US,23,23,26,29,31,37,40
Dayton,OH,US,25,28,28,28,29,28,40
West Chester,OH,US,,,22,24,25,25,40
Durant,OK,US,,,,,,37,40
Cottage Grove,OR,US,,,,,,,40
Scranton,PA,US,22,23,23,27,31,32,40
Warminster,PA,US,,26,23,23,25,25,40
New Shoreham,RI,US,,,,,43,42,40
Dayton,TN,US,,,,,,30,40
Flower Mound,TX,US,,12,17,34,34,30,40
Heath,TX,US,,,15,25,25,23,40
Lavon,TX,US,,,25,25,23,23,40
Clearfield,UT,US,,,,27,29,30,40
Highland,UT,US,,24,27,26,26,26,40
Lorton,VA,US,,,,,39,39,40
Arlington,WA,US,,,,,34,36,40
Bellingham,WA,US,35,39,42,42,42,47,40
Edmonds,WA,US,,,,27,33,34,40
Fort Atkinson,WI,US,,37,39,39,39,38,40
Franklin,WI,US,,,,26,26,26,40
Gillette,WY,US,14,14,22,27,27,28,40
Buckeye,AZ,US,,27,27,27,28,25,39
Bullhead City,AZ,US,,,,,,,39
Marana,AZ,US,,,28,28,29,30,39
Bell Gardens,CA,US,,,,,25,22,39
Burbank,CA,US,,,,28,33,36,39
Compton,CA,US,,,,,,,39
Fairfax,CA,US,,,,,45,45,39
Fremont,CA,US,17,17,17,20,24,22,39
Oakland,CA,US,32,32,34,40,45,45,39
Rancho Mirage,CA,US,,,,,19,19,39
Rancho Palos Verdes,CA,US,,,,,,22,39
San Bruno,CA,US,,,23,23,25,26,39
Santa Clarita,CA,US,,30,30,31,35,34,39
Walnut Park,CA,US,,,,,,,39
West Sacramento,CA,US,,,,,25,25,39
Fort Collins,CO,US,55,56,49,49,54,55,39
Foxfield,CO,US,,,13,14,14,14,39
Avon,CT,US,,,,,,,39
Glastonbury Center,CT,US,,,,,21,19,39
Old Saybrook,CT,US,,19,33,31,31,22,39
Vernon,CT,US,,24,20,20,25,25,39
Weston,FL,US,,,,28,28,28,39
Grayson,GA,US,,21,21,19,26,26,39
Garden City,ID,US,,,,,,,39
Middlebury,IN,US,,,,,,,39
Winona Lake,IN,US,,,,,17,18,39
Englewood,KS,US,,,,,18,18,39
Reserve,LA,US,,,,,18,21,39
Brunswick,ME,US,,,,,,21,39
Farmington,ME,US,,,,,41,35,39
Old Orchard Beach,ME,US,,,,22,27,26,39
Mount Rainier,MD,US,,,,,,,39
St. Michael's,MD,US,,,,,,,39
Holbrook,MA,US,,13,13,13,13,13,39
Williamstown,MA,US,,,,,21,30,39
Farmington Hills,MI,US,,21,19,23,26,26,39
Hamburg,MI,US,,30,30,24,23,22,39
Ishpeming,MI,US,,,,,,,39
Kentwood,MI,US,,,,27,33,32,39
Port Huron,MI,US,,,,,,,39
Hopkins,MN,US,,,,23,26,34,39
New Brighton,MN,US,,,,20,18,36,39
Ramsey,MN,US,,,,,36,32,39
Vadnais Heights,MN,US,,,,,24,29,39
Rolla,MO,US,,,,,33,33,39
Summerlin South,NV,US,,,,,19,20,39
Plymouth,NH,US,,,,,21,25,39
Pawling,NY,US,,,,,,16,39
Cary,NC,US,20,33,33,33,35,34,39
Hillsborough,NC,US,,,,,20,20,39
Minot,ND,US,,,,26,27,30,39
Bowling Green,OH,US,,,,32,35,35,39
Dover,OH,US,,,,,,,39
Miamisburg,OH,US,,,,25,28,28,39
New Philadelphia,OH,US,,,,31,32,35,39
North Canton,OH,US,,,,25,25,25,39
Oxford,OH,US,,42,35,44,45,45,39
Cornelius,OR,US,,,,,34,37,39
Forest Grove,OR,US,,,,,33,34,39
Turner,OR,US,,,,,,,39
Harrisburg,PA,US,14,14,16,27,29,29,39
Hummelstown,PA,US,,10,10,8,12,12,39
Quakertown,PA,US,,,,,28,29,39
Somerset,PA,US,,,,32,34,36,39
Brookings,SD,US,26,26,26,26,29,31,39
Lead,SD,US,,,,,28,28,39
Aledo,TX,US,,,30,30,31,31,39
Josephine,TX,US,,,20,21,21,21,39
Holladay,UT,US,,,,26,33,29,39
Hurricane,UT,US,,,,,,,39
Riverton,UT,US,,,,,,,39
St. George,UT,US,,33,34,31,32,33,39
Montpelier,VT,US,20,23,22,18,25,25,39
Christiansburg,VA,US,,28,26,24,24,28,39
Crewe,VA,US,,,,,25,24,39
Moneta,VA,US,,,,,,,39
Pullman,WA,US,,47,47,40,44,45,39
Woodinville,WA,US,,,,17,17,18,39
Anniston,AL,US,,,,,31,31,38
Huntsville,AL,US,20,21,20,21,22,23,38
Opelika,AL,US,,21,21,22,25,25,38
Springdale,AR,US,15,34,38,31,32,34,38
Guadalupe,CA,US,53,51,51,51,50,45,38
Novato,CA,US,,,,,30,29,38
Pismo Beach,CA,US,22,22,20,23,25,25,38
Pleasanton,CA,US,,24,24,31,32,33,38
Santa Rosa,CA,US,20,23,26,30,32,33,38
South Lake Tahoe,CA,US,,,40,39,45,45,38
South Pasadena,CA,US,,,,35,37,27,38
Ukiah,CA,US,,,,,45,43,38
West Athens,CA,US,,,,,,,38
Central City,CO,US,,,10,10,11,11,38
West Haven,CT,US,,,,,24,24,38
Fayetteville,GA,US,,,21,24,31,32,38
Smyrna,GA,US,,,19,21,23,24,38
Waterloo,IA,US,,27,26,31,37,35,38
West Burlington,IA,US,,,,,24,24,38
Bowling Green,KY,US,9,42,43,38,39,26,38
Biddeford,ME,US,,21,21,24,27,27,38
Kensington,MD,US,,,,,16,16,38
Acton,MA,US,,,16,17,18,24,38
Bourne,MA,US,,,,,9,9,38
Commerce,MI,US,20,20,21,23,25,25,38
Flint,MI,US,25,26,24,25,26,24,38
Grand Blanc,MI,US,,,,22,24,19,38
Apple Valley,MN,US,,,,,27,26,38
Bloomington,MN,US,15,16,17,16,16,36,38
Long Lake,MN,US,,,28,30,30,31,38
Oxford,MS,US,41,46,46,45,45,45,38
Joplin,MO,US,,,,24,25,24,38
Bellevue,NE,US,25,25,26,27,28,27,38
Henderson,NV,US,27,24,29,31,31,35,38
Cherry Hill,NJ,US,,25,25,26,27,26,38
Jersey City,NJ,US,21,24,24,28,30,32,38
Maplewood,NJ,US,,,,24,27,30,38
Medford,NJ,US,,,,23,24,25,38
Mullica Hill,NJ,US,,,,,,,38
Clinton,NY,US,,,,14,14,15,38
Dryden,NY,US,,,,,21,20,38
Carolina Beach,NC,US,,,,,,34,38
Garner,NC,US,,,,13,17,16,38
Mentor,OH,US,,,,,,26,38
Enid,OK,US,53,44,41,37,40,38,38
Lawton,OK,US,,,,,,28,38
Tulsa,OK,US,18,20,23,25,28,28,38
Astoria,OR,US,,,,,46,48,38
Sisters,OR,US,,,,,,,38
Bethlehem,PA,US,24,25,26,27,25,26,38
Dickson City,PA,US,,,,,20,20,38
West Grove,PA,US,,,,15,15,16,38
Copper Canyon,TX,US,,,20,22,26,26,38
American Fork,UT,US,,25,25,26,27,32,38
Herriman,UT,US,,,,,,,38
Vineyard,UT,US,16,17,17,20,22,23,38
Alexandria,VA,US,39,40,37,34,37,38,38
Annandale,VA,US,,,,,,,38
Manassas,VA,US,,,,31,32,34,38
Issaquah,WA,US,,33,33,39,40,33,38
Renton,WA,US,,,,,26,26,38
Winthrop,WA,US,21,22,23,22,19,26,38
St. Albans,WV,US,,,,,26,23,38
Brookfield,WI,US,,,,24,25,26,38
Jefferson,WI,US,,,,28,29,30,38
New Berlin,WI,US,,24,26,29,30,30,38
Mobile,AL,US,23,24,23,22,24,29,37
Sitka,AK,US,,,,,,33,37
Alondra Park,CA,US,,,,,,,37
Fairfield,CA,US,15,15,16,25,26,25,37
Huntington Park,CA,US,,,,,,,37
Los Altos,CA,US,24,24,25,28,30,31,37
Los Gatos,CA,US,,,19,22,23,24,37
Monterey,CA,US,,,45,22,26,28,37
Palm Desert,CA,US,23,24,19,22,22,22,37
Pico Rivera,CA,US,,,,,,,37
Redondo Beach,CA,US,,,,33,36,34,37
Saratoga,CA,US,,,,25,28,28,37
Solvang,CA,US,53,75,41,42,46,46,37
Watsonville,CA,US,24,26,29,29,29,32,37
West Hollywood,CA,US,,26,26,23,30,30,37
Vail,CO,US,,,,34,40,47,37
Fairfield,CT,US,,,,22,22,22,37
Newington,CT,US,12,13,14,16,18,19,37
Plainfield Village,CT,US,,,,,29,28,37
Ridgefield,CT,US,,,,21,21,20,37
Stratford,CT,US,,,,,,,37
Wilton,CT,US,21,22,21,18,19,19,37
Indialantic,FL,US,,10,10,17,15,18,37
Orlando,FL,US,12,22,22,24,26,26,37
Ridge Manor,FL,US,,,,,16,16,37
Wellington,FL,US,,,,,14,15,37
Canton,GA,US,,,15,16,16,16,37
Douglasville,GA,US,,,15,15,16,16,37
Schaumburg,IL,US,,38,38,38,40,40,37
Bellevue,KY,US,,,,,25,25,37
Bangor,ME,US,34,31,32,30,33,31,37
Camden,ME,US,,,,,29,35,37
Presque Isle,ME,US,,,18,25,29,28,37
Cumberland,MD,US,,4,4,4,5,5,37
Lakeville,MA,US,,20,17,16,17,15,37
Lynnfield,MA,US,,,,,12,15,37
Shakopee,MN,US,,,,32,34,35,37
Southaven,MS,US,30,30,32,26,26,26,37
Independence,MO,US,26,26,27,32,32,32,37
Kansas City,MO,US,27,28,29,28,29,30,37
Olivette,MO,US,,,,,19,20,37
Lake Mohegan,NY,US,,,,14,14,15,37
Pittsford,NY,US,9,8,10,14,16,17,37
Bedford,OH,US,,,,,,26,37
Greenville,OH,US,,39,39,30,25,25,37
Lakewood,OH,US,,,,,,44,37
Marion,OH,US,,,,,29,29,37
Ravenna,OH,US,20,19,26,31,31,32,37
Steubenville,OH,US,,,,,,35,37
Willoughby Hills,OH,US,,,16,19,19,19,37
Lincoln City,OR,US,,,,33,41,40,37
Prineville,OR,US,,,,,23,23,37
East Earl,PA,US,,,,,21,19,37
Lancaster,PA,US,17,18,20,25,30,32,37
Pine Township,PA,US,,,21,22,24,24,37
Upper Darby,PA,US,,,,,,,37
Awendaw,SC,US,,,,,31,31,37
Cleveland,TN,US,,,38,36,37,32,37
Knoxville,TN,US,8,8,24,28,29,26,37
Murfreesboro,TN,US,24,24,25,31,32,33,37
Soddy Daisy,TN,US,,,,,,,37
Blue Ridge,TX,US,,,34,33,33,33,37
Trophy Club,TX,US,,,13,13,15,16,37
Ogden,UT,US,,31,33,26,27,28,37
Lynchburg,VA,US,21,21,20,23,25,25,37
Reston,VA,US,,32,31,30,32,31,37
Moses Lake,WA,US,,,,,,23,37
Mount Vernon,WA,US,,,,,,43,37
University Place,WA,US,,38,38,38,39,38,37
Neenah,WI,US,,,,29,30,31,37
Foley,AL,US,,,,23,25,26,36
Gadsden,AL,US,,,,,20,22,36
Queen Creek,AZ,US,,,,,,31,36
Sun Lakes,AZ,US,,,,22,23,27,36
Commerce,CA,US,,,,,17,16,36
East Pasadena,CA,US,,,,,,,36
El Dorado Hills,CA,US,,,24,27,27,27,36
Glendale,CA,US,,,,19,27,27,36
Lathrop,CA,US,,,,,,,36
Long Beach,CA,US,25,27,27,38,43,44,36
Pinole,CA,US,,,,,,,36
Pleasant Hill,CA,US,,,,,39,40,36
West Whittier-Los Nietos,CA,US,,,,,,,36
Aurora,CO,US,13,14,33,35,37,34,36
Bristol,CT,US,,18,21,22,29,32,36
Land O' Lakes,FL,US,,,,,30,31,36
Merritt Island,FL,US,,,,,,,36
Oak Park,IL,US,,3,3,4,6,31,36
South Bend,IN,US,6,6,6,7,8,37,36
Sioux City,IA,US,17,18,21,27,31,31,36
Grand Rivers,KY,US,,,,,11,11,36
Monroe,LA,US,25,25,25,22,23,25,36
Cornish,ME,US,,,45,29,30,26,36
Clarksville,MD,US,,,,,,,36
Odenton,MD,US,,22,22,25,25,27,36
Arlington,MA,US,,,,,,38,36
Nantucket,MA,US,,32,40,41,34,33,36
Raynham Center,MA,US,,,,,23,24,36
Westfield,MA,US,,,13,22,19,28,36
Monroe,MI,US,,,,,,28,36
Sterling Heights,MI,US,16,14,14,22,23,25,36
Camdenton,MO,US,,,,,,,36
Ferguson,MO,US,,,,,,,36
St. Charles,MO,US,15,20,21,23,23,27,36
Warrensburg,MO,US,,,,,,,36
Billings,MT,US,28,30,39,35,35,34,36
