"Location","Year","Series","Series Code","Month","Permits"
"BELLEVILLE VILLAGE",2004,"Units in 5+ Unit Multi-Family Structures",6.0,3.0,0
"BELLEVILLE VILLAGE",2004,"Units in 5+ Unit Multi-Family Structures",6.0,4.0,0
"BELLEVILLE VILLAGE",2004,"Units in 5+ Unit Multi-Family Structures",6.0,5.0,0
"BELLEVILLE VILLAGE",2004,"Units in 5+ Unit Multi-Family Structures",6.0,6.0,0
"BELLEVILLE VILLAGE",2004,"Units in 5+ Unit Multi-Family Structures",6.0,7.0,0
"BELLEVILLE VILLAGE",2004,"Units in 5+ Unit Multi-Family Structures",6.0,8.0,0
"BELLEVILLE VILLAGE",2004,"Units in 5+ Unit Multi-Family Structures",6.0,9.0,0
"BELLEVILLE VILLAGE",2004,"Units in 5+ Unit Multi-Family Structures",6.0,10.0,0
"BELLEVILLE VILLAGE",2004,"Units in 5+ Unit Multi-Family Structures",6.0,11.0,0
"BELLEVILLE VILLAGE",2004,"Units in 5+ Unit Multi-Family Structures",6.0,12.0,0
"BELLEVILLE VILLAGE",2005,"Total Units",1.0,1.0,1.0
"BELLEVILLE VILLAGE",2005,"Total Units",1.0,2.0,2.0
"BELLEVILLE VILLAGE",2005,"Total Units",1.0,3.0,4.0
"BELLEVILLE VILLAGE",2005,"Total Units",1.0,4.0,1.0
"BELLEVILLE VILLAGE",2005,"Total Units",1.0,5.0,5.0
"BELLEVILLE VILLAGE",2005,"Total Units",1.0,6.0,2.0
"BELLEVILLE VILLAGE",2005,"Total Units",1.0,7.0,5.0
"BELLEVILLE VILLAGE",2005,"Total Units",1.0,8.0,3.0
"BELLEVILLE VILLAGE",2005,"Total Units",1.0,9.0,2.0
"BELLEVILLE VILLAGE",2005,"Total Units",1.0,10.0,2.0
"BELLEVILLE VILLAGE",2005,"Total Units",1.0,11.0,8.0
"BELLEVILLE VILLAGE",2005,"Total Units",1.0,12.0,3.0
"BELLEVILLE VILLAGE",2005,"Units in Single-Family Structures",2.0,1.0,1.0
"BELLEVILLE VILLAGE",2005,"Units in Single-Family Structures",2.0,2.0,2.0
"BELLEVILLE VILLAGE",2005,"Units in Single-Family Structures",2.0,3.0,4.0
"BELLEVILLE VILLAGE",2005,"Units in Single-Family Structures",2.0,4.0,1.0
"BELLEVILLE VILLAGE",2005,"Units in Single-Family Structures",2.0,5.0,5.0
"BELLEVILLE VILLAGE",2005,"Units in Single-Family Structures",2.0,6.0,2.0
"BELLEVILLE VILLAGE",2005,"Units in Single-Family Structures",2.0,7.0,5.0
"BELLEVILLE VILLAGE",2005,"Units in Single-Family Structures",2.0,8.0,3.0
