"DOCTNMBR","AGENCY","ACCDDATE","ACCDHOUR","COUNTY","CNTYCODE","MUNICIPALITY","MUNITYPE","MUNICODE","ONRDWY","ONRDWYDIR","ATRDWY","INTDIS","INTDIR","LATITUDE","LONGITUDE","INJSVR","TOTFATL","TOTINJ","TOTVEH","MNRCOLL","ACCDTYPE","AGGRFLAG","ATVFLAG","BIKEFLAG","BUSFLAG","CMVFLAG","CONSZONE","DEERFLAG","DISTRCTD","IMPAIRED","INTRFLAG","LANEDP1U","LANEDP2U","MCYCFLAG","OCCPPROT","PEDFLAG","SPEEDFLAG","TEENDRVR","65+DRVR","GOVTPROP"
01L0C0TWSC,"MADISON POLICE DEPARTMENT","05/18/2017","16","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N BASSETT ST","0","","43.073145","-89.39397","B","0","1","1","0","1","Y","","","","","","","","","Y","","","","","Y","","","",""
01L0TS2D7F,"MADISON POLICE DEPARTMENT","05/23/2017","15","DANE","13","MADISON","C","1373","012","E","S GAMMON RD","0","","43.052549","-89.503286","C","0","1","1","5","5","","","","","","","","","","Y","","","","","Y","","Y","",""
01L0CF68WF,"MADISON POLICE DEPARTMENT","05/23/2017","10","DANE","13","MADISON","C","1373","N BALDWIN ST","S","151","0","","43.087376","-89.366275","B","0","1","1","1","1","","","","","","","","","","Y","","","","","Y","","Y","",""
01L0NMQKSG,"MADISON POLICE DEPARTMENT","05/26/2017","10","DANE","13","MADISON","C","1373","E JOHNSON ST","","N BUTLER ST","0","","43.078957","-89.384017","B","0","1","1","5","1","Y","","","","","","","","","Y","","","","","Y","","","",""
01L0BDBC3L,"MADISON POLICE DEPARTMENT","06/08/2017","18","DANE","13","MADISON","C","1373","RUSTIC DR","","DRISCOLL DR","0","","43.098938","-89.270337","B","0","1","1","5","1","","","","","","","","","","Y","","","","","Y","","","",""
01L06DKRC4,"MADISON POLICE DEPARTMENT","06/22/2017","12","DANE","13","MADISON","C","1373","HIGHLAND AVE","","UNIVERSITY AVE","0","","43.072112","-89.428651","C","0","1","1","5","5","","","","","","","","","","Y","","","","","Y","","","",""
01L05JN007,"MADISON POLICE DEPARTMENT","06/23/2017","18","DANE","13","MADISON","C","1373","POST RD","","TRACEWAY DR","0","","43.026727","-89.419466","A","0","3","1","5","5","","","","","","","","","","Y","","","","","Y","","","",""
01L1C3B007,"MADISON POLICE DEPARTMENT","07/01/2017","15","DANE","13","MADISON","C","1373","WILLIAMSON ST","","S INGERSOLL ST","0","","43.081995","-89.366116","A","0","2","1","5","1","","","","","","","","","","Y","","","","","Y","","","",""
01L0CMCGG8,"MADISON POLICE DEPARTMENT","07/02/2017","14","DANE","13","MADISON","C","1373","ODANA RD","","S GAMMON RD","0","","43.056586","-89.502901","C","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L04BTWS5,"MADISON POLICE DEPARTMENT","07/05/2017","9","DANE","13","MADISON","C","1373","STATE ST","","N LAKE ST","0","","43.074894","-89.397213","B","0","1","1","0","1","","","","","Y","","","","","Y","","","","","Y","","","",""
