id,lat,lon
State Capitol,43.0747534674204,-89.3841624094212
UW Hospital,43.0764462405983,-89.4310259654387
Sequoya Library,43.0537758682278,-89.4503656509283
Henry Vilas Zoo,43.0580752294826,-89.4103880303558
Mickey’s Tavern,43.0878955078925,-89.3584740567803
Willy St North,43.1277086215962,-89.3629990561478
Walmart South Madison,43.0428869978336,-89.3506824070752
East Towne Mall,43.1242725291879,-89.3062858066416
West High,43.0685988804424,-89.4261740232003
